GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Raster,com.karusmc.raster,Raster,5,0,0,0,3,0,3,0,3,0
Raster,com.karusmc.raster.brushes,BrushException,0,5,0,0,0,2,0,1,0,1
Raster,com.karusmc.raster.brushes,BrushFlyweight,0,82,1,3,0,19,1,6,0,5
Raster,com.karusmc.raster.brushes,Brush,98,0,6,0,20,0,6,0,3,0
